PeriodID,NodeName,CutPattern,CutPatternType,CutPatternOutput,CutPatternOutputQty,DowngradeOutputQty,FgProduct,FgType,FgInput,FgInputQty
1,A01,23102645-NFA-34,001-C08,20001409-NFA-34,500,1000,10092607,1,20001409-NFA-12345,3024
1,A01,23102645-NFA-34,001-C08,20001409-NFA-34,500,1000,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102770-NFA-45,001-C08,20001409-NFA-45,2814,3228,10092607,1,20001409-NFA-12345,3024
1,A01,23102770-NFA-45,001-C08,20001409-NFA-45,2814,3228,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102761-ABF-34,001-C08,20001410-ABF-34,1500.003,3500.006,10098750,1,20001410-NFA-12345,16000
1,A01,23102761-ABF-34,001-C08,20001410-ABF-34,1500.003,3500.006,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102683-ABF-34,001-C08,20001410-ABF-34,500,2500.003,10098750,1,20001410-NFA-12345,16000
1,A01,23102683-ABF-34,001-C08,20001410-ABF-34,500,2500.003,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102679-FA-3,001-C08,20001410-FA-3,810,1620,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102679-FA-3,001-C08,20001410-FA-3,810,1620,10098750,1,20001410-NFA-12345,16000
1,A01,23102634-NFA-1,001-C08,20001410-NFA-1,531.994,1063.988,10098750,1,20001410-NFA-12345,16000
1,A01,23102634-NFA-1,001-C08,20001410-NFA-1,531.994,1063.988,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102647-NFA-12,001-C08,20001410-NFA-12,2580.006,5160.012,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102647-NFA-12,001-C08,20001410-NFA-12,2580.006,5160.012,10098750,1,20001410-NFA-12345,16000
1,A01,23102645-NFA-1234,001-C08,20001410-NFA-1234,1480,2960,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102645-NFA-1234,001-C08,20001410-NFA-1234,1480,2960,10098750,1,20001410-NFA-12345,16000
1,A01,23102634-NFA-2,001-C08,20001410-NFA-2,1044,2088,10098750,1,20001410-NFA-12345,16000
1,A01,23102634-NFA-2,001-C08,20001410-NFA-2,1044,2088,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102770-NFA-23,001-C08,20001410-NFA-23,5734,12332,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102770-NFA-23,001-C08,20001410-NFA-23,5734,12332,10098750,1,20001410-NFA-12345,16000
1,A01,23102653-NFA-23,001-C08,20001410-NFA-23,864,7462,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102653-NFA-23,001-C08,20001410-NFA-23,864,7462,10098750,1,20001410-NFA-12345,16000
1,A01,23102653-NFA-3,001-C08,20001410-NFA-3,500,1000,10098750,1,20001410-NFA-12345,16000
1,A01,23102653-NFA-3,001-C08,20001410-NFA-3,500,1000,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102645-NFA-34,001-C08,20001410-NFA-34,500,1000,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102645-NFA-34,001-C08,20001410-NFA-34,500,1000,10098750,1,20001410-NFA-12345,16000
1,A01,23102770-NFA-45,001-C08,20001410-NFA-45,2814,5628,10094409,1,20001410-NFA-12345,2858.003
1,A01,23102770-NFA-45,001-C08,20001410-NFA-45,2814,5628,10098750,1,20001410-NFA-12345,16000
1,A01,23101302-ABF-1,001-C08,20001502-ABF-1,634.004,634.004,10044873,1,20001502-ABF-12,2906
1,A01,23103013-ABF-1,001-C09,20001502-ABF-1,500,500,10044873,1,20001502-ABF-12,2906
